report_figure_id,report_page,report_section,current_caption,current_source_file,current_source_stage,numerical_N,numerical_dx,physical_window,native_image_width_px,native_image_height_px,placed_width_in_report,effective_pixels_per_inch,interpolation_used,aspect_ratio_expected,aspect_ratio_rendered,visually_pixelated,visually_blurry,visually_blocky,text_too_small,colourbar_too_small,wrong_aspect_ratio,stretched_or_distorted,excessive_dead_space,overcrowded,lower_resolution_than_available,scientifically_confusing,severity,recommended_action,replacement_source,final_status,priority_1,inspection_evidence,notes
F01,22,source_validation,V0 source parity and reference/reproduction comparison.,outputs/figures/digital_twin/nathan_visual_ladder/nathan_visual_ladder_v0_reference_vs_reproduction.png,V0,1024,,10 mm,3060,2700,"2.48 in (30% of page width, fallback render)",1233,display,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,True,False,False,False,False,True,False,False,major,move_to_appendix,,appendix,False,contact-sheet multimodal render,"14-panel V0 ladder audit with several blank grey panels; audit-grade, not narrative"
F02,23,source_validation,Grid convention audit showing why Nathan axis-sampled centring is required.,outputs/figures/digital_twin/nathan_visual_ladder/nathan_source_observable_audit_grid_convention.png,V0,1024,,10 mm,1870,850,"2.15 in (26% of page width, fallback render)",870,display,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,False,False,False,False,False,False,False,False,minor,move_to_appendix,,appendix,False,contact-sheet multimodal render,clear two-panel grid-convention audit; supporting material
F03,24,source_validation,High-resolution V0 reference crop and propagated structure.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/00_v0_reference/v0_reference_crop_highres.png,M2U,1536,,10 mm,2448,1054,"2.15 in (26% of page width, fallback render)",1138,lanczos,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,False,False,False,False,True,False,False,False,moderate,replace_with_higher_N,F3A,replaced,True,full-page multimodal render,good V0 hero content placed as a small floating panel; promised propagation context absent
F04,25,equations,M2P target alpha and sector map.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/01_m2p_preaxicon/m2p_target_alpha_sector_highres.png,M2P/M2U,1536,,10 mm,3633,1046,"3.47 in (42% of page width, fallback render)",1046,lanczos,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,False,False,False,False,False,False,False,False,pass,move_to_appendix,,appendix,False,contact-sheet multimodal render,clean A(r)/alpha/sector row; superseded in the narrative by refined F2
F05,26,equations,M2P pre-axicon Stokes comparison.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/01_m2p_preaxicon/m2p_stokes_comparison_highres.png,M2P/M2U,1536,,10 mm,3632,3285,"2.15 in (26% of page width, fallback render)",1689,lanczos,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,False,False,False,False,False,True,False,False,moderate,move_to_appendix,,appendix,False,contact-sheet multimodal render,3x3 Stokes grid with an all-zero S3 column of dead panels
F06,27,inverse_design,M2Q recovered phase-only masks and inverse design diagnostics.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/03_m2q_inverse_masks/m2q_phase_only_masks_highres.png,M2Q/M2U,1536,,10 mm,2864,1354,"2.65 in (32% of page width, fallback render)",1082,lanczos,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,False,False,False,False,False,False,False,False,pass,move_to_appendix,,appendix,False,contact-sheet multimodal render,"two large mask panels, readable; kept as M2Q evidence"
F07,28,sequential_architecture,M2W-FIX V0 versus ideal sequential versus realistic sequential comparison.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/03_ideal_vs_realistic/fig3A_v0_ideal_realistic_sequential.png,M2W-FIX,1536,see source audit,SAS-scaled focus crop,4424,3780,"4.30 in (52% of page width, fallback render)",1029,lanczos,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,True,True,False,False,False,True,False,False,major,split_figure,F3A+F3B,replaced,True,full-page multimodal render,"hero comparison packs fields, blank-by-construction difference panels and tiny-text profiles into one 5-row composite"
F08,29,sequential_architecture,Corrected sequential single-beam optical system.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/00_architecture/fig1_sequential_optical_architecture.png,M2W-FIX,diagram,,bench,4900,1624,"6.62 in (80% of page width, fallback render)",741,vector schematic,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,True,False,False,False,True,False,False,False,critical,re-render,F1,replaced,True,full-page multimodal render,architecture strip unreadable (~3-4 pt effective) and clipped at the right page edge
F09,30,hardware,Native SLM1/SLM2 masks and target vector-field diagnostics.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/02_target_masks/fig2_target_and_sequential_masks.png,M2W-FIX,1920x1080 masks; 1536 target grid,,native panel + source grid,4900,3976,"5.13 in (62% of page width, fallback render)",956,nearest/lanczos,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,True,True,False,False,False,False,False,False,major,redesign_layout,F2,replaced,True,full-page multimodal render,native masks too small to inspect the carrier; annotation overlaps the SLM1 axis; blank S3 panel
F10,31,realism,"Realism degradation: clean, moderate and bad cases.",outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/04_realism/fig3B_clean_moderate_bad_realism.png,M2W-FIX/M2S,1024,,10 mm,4200,2604,"2.32 in (28% of page width, fallback render)",1814,lanczos,per physical content (square xy fields; 16:9 panels; wide propagation),correct,False,False,False,False,False,False,False,True,False,False,False,moderate,redesign_layout,F5B,replaced,False,contact-sheet multimodal render,difference row mostly blank; linear crops small
