stage,name,new_modules,key_deliverable,test_file,acceptance_criteria,engine_changes,status
8A,Blueprint documentation,docs only,5 architecture docs + optional CSVs,test_stage8a_blueprint_docs.py,All docs exist; 11 model statuses defined; claim boundaries explicit; stages 8A-8J listed,none,DONE
8B,Engine 1 adapter,vbb_study/digital_twin/engine1.py,Engine1Result dataclass wrapping bt.run_case,test_stage8b_engine1_adapter.py,model_status == optical_prediction; field matches bt.run_case output; fast lock green,none,not started
8C,Engine 2 exposure/fluence,vbb_study/digital_twin/exposure.py,compute_fluence + compute_threshold_crossing + compute_writing_trajectory + compute_dose_accumulation,test_stage8c_exposure.py,Energy conservation < 1% drift; model_status correct; fast lock green,none,not started
8D,Engine 3 material proxy,vbb_study/digital_twin/material.py,compute_modification_proxy + compute_simulated_image + calibration gating + stub hooks,test_stage8d_material_proxy.py,Default = uncalibrated proxy; calibrated requires real data; hooks raise NotImplementedError by default; fast lock green,none,not started
8E,Figure generation pipeline,vbb_study/digital_twin/figures.py,16 PNG + 1 GIF from render_all; proxy stamps on proxy figures,test_stage8e_figures.py,All 16 figures generated; GIF <= 5 MB; proxy stamp on proxy-status figures; fast lock green,none,not started
8F,Nonlinear and thermal proxy hooks,exposure.py + material.py updated,Nonlinear I^(M-1) hook + exponential thermal accumulation (both disabled by default),test_stage8f_proxy_hooks.py,Disabled by default; model_status not upgraded when enabled; fast lock green,none,not started
8G,Calibration data ingestion,vbb_study/digital_twin/calibration.py,CalibrationRecord + load_calibration_csv + schema validation (rejects synthetic),test_stage8g_calibration.py,Synthetic / missing data rejected; calibrated status only with valid record; fast lock green,none,not started
8H,PSF calibration for simulated image,material.py updated,load_psf_calibration + optional PSF in compute_simulated_image,test_stage8h_simulated_image.py,Gaussian PSF by default; calibrated PSF when provided; model_status unchanged; fast lock green,none,not started
8I,Quicklook notebook + interactive controls,notebooks/digital_twin/00 + 01 notebooks,Interactive controls for all parameters in doc 22; fast-preset only for quicklook,manual run,Quicklook runs clean; model status labels visible; fast lock green,none,not started
8J,Integration tests + publication export gate,figures.py updated,End-to-end test + validation record + export gate (raises on proxy figures without override),test_stage8j_full_pipeline.py,End-to-end test passes; validation record exists; export gate raises on proxy; fast and prod locks green,none,not started
