number_id,quantity,value,units,scope,provenance,status,source_file
N001,Physical bench wavelength,1029,nm,M2U3/M2V/M2W-FIX,PHAROS / Digital Twin physical binding,resolved,docs/78_nathan_mode2u3_final_hardware_closure.md
N002,Nathan parity wavelength,1030,nm,V0 source parity,Nathan source rounding,different scope,docs/78_nathan_mode2u3_final_hardware_closure.md
N003,Source beam radius,2.0,mm,source scale,NathanSourceParityConfig.beam_radius_m,validated,vbb_study/digital_twin/nathan_vector_hexagon.py
N004,SLM panel width,1920,px,native panel,PLUTO-2.1 family/project config,repository-confirmed geometry,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/02_target_masks/mode2w_fix_slm_mask_metadata.json
N005,SLM panel height,1080,px,native panel,PLUTO-2.1 family/project config,repository-confirmed geometry,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/02_target_masks/mode2w_fix_slm_mask_metadata.json
N006,SLM pitch,8,um,native panel,project config/manual family page,repository-confirmed geometry,docs/78_nathan_mode2u3_final_hardware_closure.md
N007,SLM active area,15.36 x 8.64,mm,native panel,1920x1080 at 8 um,repository-confirmed geometry,docs/78_nathan_mode2u3_final_hardware_closure.md
N008,Carrier frequency,6.25,lp/mm,source-scale display carrier,M2N/M2Q/M2S/M2U validated runs,validated,docs/78_nathan_mode2u3_final_hardware_closure.md
N009,Carrier period,20,SLM px,8 um panel,6.25 lp/mm,validated,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/02_target_masks/mode2w_fix_slm_mask_metadata.json
N010,4F focal length,300,mm,nominal bench,M2U3 F300 binding,routine bench confirmation,docs/78_nathan_mode2u3_final_hardware_closure.md
N011,+1 order displacement,1.929,mm,"1029 nm, f=300 mm, 6.25 lp/mm",x=lambda f nu,model-supported,docs/78_nathan_mode2u3_final_hardware_closure.md
N012,Iris diameter,1.54,mm,0.40 carrier separation radius,M2U3 closure,routine bench calibration,docs/78_nathan_mode2u3_final_hardware_closure.md
N013,Axicon base angle,2,deg,source scale,Nathan fused-silica source branch,validated,docs/78_nathan_mode2u3_final_hardware_closure.md
N014,Axicon refractive index,1.458,dimensionless,source scale,Nathan fused silica,validated,docs/78_nathan_mode2u3_final_hardware_closure.md
N015,Reference z,60,mm,source-scale Bessel zone,NathanSourceParityConfig.z_reference_m,validated,vbb_study/digital_twin/nathan_vector_hexagon.py
N016,Publication grid,1536,samples per side,hero/high-resolution comparison,M2U publication sampling audit,publication-selected,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/01_source_audit/mode2w_fix_numerical_source_audit.csv
N017,N=1536 samples per radial fringe,9.89,samples/fringe,native full 10 mm grid,M2U/M2W-FIX source audit,validated,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/01_source_audit/mode2w_fix_numerical_source_audit.csv
N018,Fig. 3A SAS zoom sampling,20.84,samples/fringe,displayed focus crop,M2W-FIX SAS render audit,display provenance,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/01_source_audit/mode2w_fix_numerical_source_audit.csv
N019,Realistic sequential z60 correlation,0.9936209493,correlation,M2W-FIX,sequential equivalence report,validated in simulation,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/10_final_status/m2wf_outcome_report.json
N020,Sequential pre-QWP overlap,1.0,overlap,M2W-FIX,sequential_jones_equivalence,validated in simulation,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/00_architecture/mode2w_fix_sequential_equivalence.json
N021,Sequential post-QWP overlap,1.0,overlap,M2W-FIX,sequential_jones_equivalence,validated in simulation,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/00_architecture/mode2w_fix_sequential_equivalence.json
N022,First-order efficiency,0.949,fraction,realistic 4F route,M2N/M2W-FIX realistic route,validated in simulation,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/03_ideal_vs_realistic/mode2w_fix_ideal_vs_realistic_metrics.csv
N023,0.5 mm compensated axicon decentre correlation,0.9762,correlation,M2S correction,mode2s compensation,model-supported,outputs/figures/digital_twin/nathan_mode2s_lab_realism_tolerance/mode2s_compensation_results.csv
N024,Old forbidden candidate full-field correlation,0.989,correlation,superseded M2U2 optimum,M2U2-FIX audit,forbidden despite high correlation,outputs/figures/digital_twin/nathan_mode2u2_fix_strict_hexagon_optimisation/old_optima_strict_audit.csv
