stage,notebook,figure_or_output,visualisation_type,final_export_allowed,diagnostic_allowed,legacy_quarantined,pixelation_status,interpolation_used,interpolation_label_present,units_present,colourbar_label_present,qa_label_visible,caveat_present,source_run_id,source_schema_version,recommended_action
output_documentation,manual documentation,Publication_Study/outputs/csv/README.md,documentation,False,True,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,yes,True,unknown,1.0.0,Use for traceability and route selection.
validation,notebooks/scalar/05_scalar_validation_suite.ipynb,Publication_Study/outputs/csv/sas_self_checks.csv,validation_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,2.0.0,Use registry gate before export.
stage8_6_governance,docs/16_figure_output_governance.md,Publication_Study/outputs/csv/publication_exports/figure_output_registry.csv,registry_csv,True,False,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,yes,True,unknown,1.0.0,Use as the authoritative export gate.
stage8_6_governance,docs/16_figure_output_governance.md,Publication_Study/outputs/csv/publication_exports/figure_visual_quality_audit.csv,visual_qa_csv,True,False,False,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,yes,True,unknown,1.0.0,Review before final report assembly.
scalar,notebooks/scalar/02_scalar_ideal_vs_lab_diagnostics.ipynb,Publication_Study/outputs/csv/publication_study/scalar_shortlist_realistic_summary_publication.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,2.0.0,Use registry gate before export.
scalar,notebooks/scalar/02_scalar_ideal_vs_lab_diagnostics.ipynb,Publication_Study/outputs/csv/publication_study/scalar_preset_comparison_fast_vs_publication.csv,comparison_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,2.0.0,Use registry gate before export.
validation,notebooks/scalar/05_scalar_validation_suite.ipynb,Publication_Study/outputs/csv/publication_study/*validation*.csv,validation_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,2.0.0,Use registry gate before export.
lab_realism,notebooks/lab_realism/*,Publication_Study/outputs/csv/stage_c/NB_*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,not_applicable,unknown,True,unknown,1.0.0,Use non-NB stage_c canonical rows instead.
lab_realism,notebooks/lab_realism/01-04,Publication_Study/outputs/csv/stage_c/*.csv,canonical_csv,True,False,False,not_applicable,not_applicable,not_applicable,yes,not_applicable,yes,True,unknown,1.0.0,Use registry gate before export.
through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/csv/stage_d/NB_*,legacy_csv,False,False,True,not_applicable,not_applicable,not_applicable,unknown,not_applicable,unknown,True,unknown,1.0.0,Use through_sample_summary.csv for governed exports.
