claim_id,claim,evidence_files,data_source,figure_or_table,numerical_result,status,limitations
CL01,V0 literal source and project implementation reproduce the same source-scale field.,outputs/figures/digital_twin/nathan_visual_ladder/nathan_visual_ladder_v0_reference_vs_reproduction.png,nathan_visual_ladder_v0_status_report.json,F01,source parity validated; Nathan axis-sampled grid required,validated,"Simulation parity, not an experimental measurement."
CL02,The ideal patterned-HWP and dual-SLM/QWP Jones routes reproduce the target vector field.,outputs/figures/digital_twin/nathan_mode2_preflight_jones/jones_synthesis_summary.csv,M2P preflight,F04,component overlaps equal to 1 within numerical precision,validated,"Ideal component model before carrier, 4F and axicon propagation."
CL03,The realistic source-scale dual-SLM + carrier + common 4F route preserves the strict hexagon.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/03_ideal_vs_realistic/mode2w_fix_ideal_vs_realistic_metrics.csv,M2W-FIX,F07,realistic sequential z60 correlation approx 0.9936209493; strict class visual_hexagonal_field,validated in simulation,Experimental replication remains unverified.
CL04,M2Q inverse propagation independently recovers the same H/V mask convention.,outputs/figures/digital_twin/nathan_mode2q_backward_mask_synthesis/mode2q_backward_diagnostics.json,M2Q,F06,complex vector overlap approx 0.99999997; alpha RMS approx 1.1e-4 rad,validated in simulation,Inverse uses the simulated complex V0 target.
CL05,The source-scale system is sensitive primarily to hologram/mask centre versus axicon-axis registration.,outputs/figures/digital_twin/nathan_mode2s_lab_realism_tolerance/mode2s_compensation_results.csv,M2S,F10,0.5 mm decentre recovered from corr approx 0.7888 to approx 0.9762,model-supported,Finite perturbation set; bench correction still required.
CL06,N=1536 publication-selected outputs are used for the primary hero comparison where available.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/01_source_audit/mode2w_fix_numerical_source_audit.csv,M2U/M2W-FIX source audit,F07,Fig. 3A native N=1536; SAS zoom dx approx 3.087 um,validated,Some broad propagation context remains N=1024 by design.
CL07,The old M2U2 best-compromise optimiser candidate is forbidden.,outputs/figures/digital_twin/nathan_mode2u2_fix_strict_hexagon_optimisation/old_optima_strict_audit.csv,M2U2-FIX,S01,m2u2_opt_003_c5.75_i0.32_q-0.25_r+0.0_p0.10,forbidden,Forbidden within this project branch and gate definition.
CL08,The original MODE 2W split-arm presentation is superseded and must not be used as canonical architecture.,docs/82_nathan_mode2w_annotated_master_figure_pack.md; docs/83_nathan_mode2w_fix_sequential_architecture.md,M2W-FIX,S02,M2W superseded; M2WF-A accepted,superseded,Historical split-arm files retained only as provenance.
CL09,Exact SLM phase stroke and per-panel LUT remain calibration-required.,docs/75_nathan_mode2u3_slm_phase_calibration.md,M2U3 hardware closure,T03,phase stroke unresolved at 1029 nm,calibration-required,Bench calibration required before hardware masks are final.
CL10,Microfabrication/sample-plane success is not claimed by this report.,docs/83_nathan_mode2w_fix_sequential_architecture.md,M2W-FIX scope statement,conclusion,no microfabrication/sample-plane success claim,validated scope boundary,Separate branch remains unresolved.
