figure_id,report_caption,source_file,source_stage,N,dx,physical_window,z_plane_or_range,display_interpolation,native_metrics,validation_status,evidence_subfolder,primary_hero,copied_to,copy_status
F01,V0 source parity and reference/reproduction comparison.,outputs/figures/digital_twin/nathan_visual_ladder/nathan_visual_ladder_v0_reference_vs_reproduction.png,V0,1024,,10 mm,,display,True,validated,source_validation,True,report\evidence_pack\source_validation\F01_nathan_visual_ladder_v0_reference_vs_reproduction.png,copied
F02,Grid convention audit showing why Nathan axis-sampled centring is required.,outputs/figures/digital_twin/nathan_visual_ladder/nathan_source_observable_audit_grid_convention.png,V0,1024,,10 mm,,display,True,validated,source_validation,False,report\evidence_pack\source_validation\F02_nathan_source_observable_audit_grid_convention.png,copied
F03,High-resolution V0 reference crop and propagated structure.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/00_v0_reference/v0_reference_crop_highres.png,M2U,1536,,10 mm,z=60 mm,lanczos,True,validated,source_validation,True,report\evidence_pack\source_validation\F03_v0_reference_crop_highres.png,copied
F04,M2P target alpha and sector map.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/01_m2p_preaxicon/m2p_target_alpha_sector_highres.png,M2P/M2U,1536,,10 mm,pre-axicon,lanczos,True,validated,equations,True,report\evidence_pack\equations\F04_m2p_target_alpha_sector_highres.png,copied
F05,M2P pre-axicon Stokes comparison.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/01_m2p_preaxicon/m2p_stokes_comparison_highres.png,M2P/M2U,1536,,10 mm,pre-axicon,lanczos,True,validated,equations,False,report\evidence_pack\equations\F05_m2p_stokes_comparison_highres.png,copied
F06,M2Q recovered phase-only masks and inverse design diagnostics.,outputs/figures/digital_twin/nathan_mode2u_master_highres_audit/03_m2q_inverse_masks/m2q_phase_only_masks_highres.png,M2Q/M2U,1536,,10 mm,pre-axicon,lanczos,True,validated,inverse_design,True,report\evidence_pack\inverse_design\F06_m2q_phase_only_masks_highres.png,copied
F07,M2W-FIX V0 versus ideal sequential versus realistic sequential comparison.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/03_ideal_vs_realistic/fig3A_v0_ideal_realistic_sequential.png,M2W-FIX,1536,see source audit,SAS-scaled focus crop,z=60 mm,lanczos,True,validated,sequential_architecture,True,report\evidence_pack\sequential_architecture\F07_fig3A_v0_ideal_realistic_sequential.png,copied
F08,Corrected sequential single-beam optical system.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/00_architecture/fig1_sequential_optical_architecture.png,M2W-FIX,diagram,,bench,,vector schematic,True,validated architecture,sequential_architecture,True,report\evidence_pack\sequential_architecture\F08_fig1_sequential_optical_architecture.png,copied
F09,Native SLM1/SLM2 masks and target vector-field diagnostics.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/02_target_masks/fig2_target_and_sequential_masks.png,M2W-FIX,1920x1080 masks; 1536 target grid,,native panel + source grid,pre-axicon,nearest/lanczos,True,validated display package,hardware,True,report\evidence_pack\hardware\F09_fig2_target_and_sequential_masks.png,copied
F10,"Realism degradation: clean, moderate and bad cases.",outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/04_realism/fig3B_clean_moderate_bad_realism.png,M2W-FIX/M2S,1024,,10 mm,z=60 mm,lanczos,True,model-supported,realism,True,report\evidence_pack\realism\F10_fig3B_clean_moderate_bad_realism.png,copied
F11,Corrected recovery from a 0.5 mm axicon/mask offset.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/05_correction/fig3C_degraded_corrected_recovery.png,M2W-FIX/M2S/M2V,1024,,10 mm,z=60 mm,lanczos,True,model-supported,correction,True,report\evidence_pack\correction\F11_fig3C_degraded_corrected_recovery.png,copied
F12,Transverse propagation with physical context and SAS-scaled focus crops.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/06_propagation/fig4A_transverse_evolution.png,M2W-FIX,1024,see source audit,SAS-scaled focus windows,0.1-200 mm,lanczos,True,validated display provenance,source_validation,True,report\evidence_pack\source_validation\F12_fig4A_transverse_evolution.png,copied
F13,x-z and y-z propagation maps plus z diagnostics.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/06_propagation/fig4B_xz_yz_z_diagnostics.png,M2W-FIX,1024,,10 mm,0.1-200 mm,bilinear,True,validated,source_validation,True,report\evidence_pack\source_validation\F13_fig4B_xz_yz_z_diagnostics.png,copied
F14,Sequential-route power flow.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/07_power/fig4C_sequential_power_flow.png,M2W-FIX,ledger,,bench,,bar chart,True,model-supported,hardware,True,report\evidence_pack\hardware\F14_fig4C_sequential_power_flow.png,copied
F15,Tolerance limits table/plot.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/08_tolerances/fig5A_tolerance_limits.png,M2W-FIX/M2S,mixed,,table,,table,True,model-supported,realism,False,report\evidence_pack\realism\F15_fig5A_tolerance_limits.png,copied
F16,Combined realism and correction results.,outputs/figures/digital_twin/nathan_mode2w_fix_sequential_master/08_tolerances/fig5B_combined_correction_results.png,M2W-FIX/M2S/M2V,mixed,,table,,bar chart,True,model-supported,correction,False,report\evidence_pack\correction\F16_fig5B_combined_correction_results.png,copied
F17,Strict classifier truth table and gate calibration.,outputs/figures/digital_twin/nathan_mode2u2_fix_strict_hexagon_optimisation/hexagon_classifier_truth_table_highres.png,M2U2-FIX,highres,,focus crop,z=60 mm,lanczos,True,validated gate,provenance,True,report\evidence_pack\provenance\F17_hexagon_classifier_truth_table_highres.png,copied
