target_id,application_module,material,writing_mode,quantity_to_measure,measurement_method,needed_for_model_parameter,minimum_experiment_type,example_sweep,promotion_enabled,notes
CAL001,engine2; engine3,Cr:ZnSe,all,threshold pulse energy (surface ablation),Liu method (log D^2 vs log E from craters); optical microscopy of surface craters,F_th_surface [J/cm^2] for surface proxy upper bound,Single-shot ablation at surface with energy scan,Vary E_p from 0.1x to 10x estimated threshold; measure crater diameter D; plot D^2 vs ln(E); extrapolate to D=0,engine2 fluence_threshold_proxy → calibrated_material_prediction (surface),Must be done on the specific sample batch / surface preparation; surface ablation threshold may vary with polish and coating
CAL002,engine2; engine3,Cr:ZnSe,internal_modification,threshold pulse energy (internal modification onset),Optical microscopy (top-view and cross-section after polishing) of written tracks at varied energy,F_th_internal [J/cm^2] for Engine 2 threshold proxy,Scan writing at fixed depth; energy scan; determine minimum energy for visible continuous track,Vary E_p from 0.5× to 5× estimated internal threshold at fixed depth and scan speed; check track continuity by microscopy,engine2 fluence_threshold_proxy → calibrated_material_prediction,Most important calibration target — enables quantitative threshold prediction
CAL003,engine2,Cr:ZnSe,scan_writing,track width vs pulse energy,Optical microscopy (top-view) or SEM cross-section; fit width to threshold model D^2 = 2w_eff^2 ln(E/E_th),Track width scaling coefficient; beam-size effective radius at surface,Energy sweep at fixed scan speed and depth,Vary E_p over range [1x–5x threshold]; measure track width; fit log-linear model,engine3 uncalibrated → calibrated,Track width from threshold model requires F_th calibration first (CAL001/CAL002)
CAL004,engine2; engine3,Cr:ZnSe,scan_writing,track depth vs pulse energy,Cross-section polishing and optical microscopy; confocal microscopy if available,Track depth scaling; aspect ratio,Energy sweep at fixed scan speed and depth,Same energy sweep as CAL003; also need cross-section — cut perpendicular to writing axis and polish,engine3 uncalibrated → calibrated,Aspect ratio (depth/width) is determined by beam shape; Bessel beam gives very different aspect ratio than Gaussian focus
CAL005,engine2; engine3,Cr:ZnSe,scan_writing,feature length (Bessel zone observable),Optical microscopy (side-view or cross-section along writing axis); check track continuity along z,Bessel zone length comparison with Engine 1 prediction,Scan writing perpendicular to optical axis; image along track direction; confirm z-extent of modification,Fixed energy and speed; vary focus depth to map Bessel zone boundaries,engine1 optical_prediction validation,Comparing observed feature length to predicted Bessel zone length validates Engine 1 spatial prediction
CAL006,engine2; engine3,Cr:ZnSe,scan_writing,track continuity (minimum scan speed for continuous track),Optical microscopy; check for isolated dots vs continuous track at threshold scan speed,Minimum scan speed for continuous modification; N_spot effective for continuity,Scan speed sweep at fixed pulse energy just above threshold,Vary v from 1 mm/s to 100 mm/s at fixed E_p; measure continuity by microscopy; determine breakpoint speed,engine2 dose_accumulation_proxy → calibrated,Continuity threshold defines the N_spot effective — links scan speed to incubation model
CAL007,engine3,Cr:ZnSe,scan_writing,side-lobe modification marks (vortex Bessel ell>0),Optical microscopy; DIC; check for secondary ring marks outside main core,Side-lobe damage margin — how much energy before secondary ring modifies material,Energy sweep for each topological charge ell=1 2 3,Fix scan speed; vary E_p; for each ell identify energy at which secondary ring starts to modify material,engine3 uncalibrated → first vortex-specific calibration,Critical for vortex-Bessel writing design — sidelobes must not modify material outside intended track
CAL008,engine3,Cr:ZnSe,scan_writing; static,crack or damage onset energy,Optical microscopy; DIC; polarisation microscopy for stress birefringence,Upper bound on safe writing window; F_th_damage > F_th_modification must be confirmed,Energy sweep beyond modification threshold,Continue CAL002/CAL003 energy sweep to higher energies until crack/void/damage onset observed,engine3 uncalibrated → sets upper bound of writing window,Writing window = [F_th_modification; F_th_damage]; if window is narrow writing is difficult
CAL009,engine3,Cr:ZnSe,scan_writing,visible microscope contrast (DIC or phase contrast),Standard DIC optical microscope; phase contrast; cross-polarisation imaging,Microscope contrast vs Δn and track morphology; sets simulated_microscopy_proxy calibration,First written tracks at any condition that produces visible modification,Image same tracks under multiple contrast modes (bright field; DIC; phase contrast; cross-pol),engine3 simulated_microscopy_proxy → calibrated contrast,Knowing which contrast mode gives best visibility informs the simulated image proxy
CAL010,engine3,Cr:ZnSe,scan_writing,etch response (etch-rate enhancement at modification sites),Etch one half of sample in appropriate chemistry (KOH or proprietary ZnSe etchant); measure etch depth and rate by profilometry or SEM,Etch selectivity ratio at modification sites; ZnSe etch chemistry,Apply etchant to laser-modified ZnSe; compare etch depth in modified vs unmodified regions,Etch at a few times and compare etch depth vs exposure conditions,engine3 uncalibrated → etch observable calibration,If no etch enhancement exists in ZnSe for these conditions then etch is not a useful observable; this test determines that
