key,value
kind,stack
field_label,propagate_volume_intensity_stack
source_status,real_optical_field
pulse_energy_uJ,79.57912499999999
pulse_duration_fs,260.0
n_planes,41
dx_um,0.25
dy_um,0.25
peak_z_um,-102.99987874555738
peak_fluence_j_cm2,132.96775432225462
propagation_energy_drift_fraction,0.9980041580080972
max_transverse_energy_residual_uJ,2.842170943040401e-14
peak_intensity_w_cm2,511414439700979.3
model_status,fluence_prediction
final_export_allowed,False
caveat,"Fluence stack is transverse-plane fluence scaling of the optical field. It is not a deposited-energy volume, not absorbed energy, and not material modification."
