output_path,stage,notebook_source,source_csv,source_run_id,source_schema_version,status,reason,caveat_required,model_level,hardware_status,material_model_status,propagation_power_label,visual_quality_status,pixelation_status,final_export_allowed,visualisation_type,caption_gate_key,recommended_action,interpolation_used,interpolation_label_present,units_present,colourbar_label_present,qa_label_visible,registry_schema_version,caption_text,caveat_text,caption_gate_export_allowed,warning_level
Publication_Study/outputs/csv/README.md,output_documentation,manual documentation,,unknown,1.0.0,diagnostic_allowed,Output naming documentation; not a figure/table for paper export.,True,not_applicable,not_applicable,not_applicable,not_applicable,table_or_metadata,not_applicable,False,documentation,governance_registry,Use for traceability and route selection.,not_applicable,not_applicable,not_applicable,not_applicable,yes,1.0.0,Figure/output governance registry.,Governance artifact; final export is allowed only through the final_export_allowed registry gate.,True,green
Publication_Study/outputs/csv/sas_self_checks.csv,validation,notebooks/scalar/05_scalar_validation_suite.ipynb,Publication_Study/outputs/csv/sas_self_checks.csv,unknown,2.0.0,final_export_allowed,SAS self-check table used for numerical QA traceability.,True,validation,not_applicable,not_applicable,not_applicable,table_or_metadata,not_applicable,True,validation_csv,validation,Use registry gate before export.,not_applicable,not_applicable,yes,not_applicable,yes,1.0.0,Validation/QA output.,"Validation output; numerical tolerance, retained-power, and resampling caveats must remain visible.",True,green
Publication_Study/outputs/csv/publication_exports/figure_output_registry.csv,stage8_6_governance,docs/16_figure_output_governance.md,Publication_Study/outputs/csv/publication_exports/figure_output_registry.csv,unknown,1.0.0,final_export_allowed,Machine-readable final-export allow/quarantine registry.,True,not_applicable,not_applicable,not_applicable,not_applicable,table_or_metadata,not_applicable,True,registry_csv,governance_registry,Use as the authoritative export gate.,not_applicable,not_applicable,not_applicable,not_applicable,yes,1.0.0,Figure/output governance registry.,Governance artifact; final export is allowed only through the final_export_allowed registry gate.,True,green
Publication_Study/outputs/csv/publication_exports/figure_visual_quality_audit.csv,stage8_6_governance,docs/16_figure_output_governance.md,Publication_Study/outputs/csv/publication_exports/figure_visual_quality_audit.csv,unknown,1.0.0,final_export_allowed,Machine-readable visual QA table derived from Stage 8.5 and Stage 8.6.,True,not_applicable,not_applicable,not_applicable,not_applicable,table_or_metadata,not_applicable,True,visual_qa_csv,governance_registry,Review before final report assembly.,not_applicable,not_applicable,not_applicable,not_applicable,yes,1.0.0,Figure/output governance registry.,Governance artifact; final export is allowed only through the final_export_allowed registry gate.,True,green
Publication_Study/outputs/csv/publication_study/scalar_shortlist_realistic_summary_publication.csv,scalar,notebooks/scalar/02_scalar_ideal_vs_lab_diagnostics.ipynb,Publication_Study/outputs/csv/publication_study/scalar_shortlist_realistic_summary_publication.csv,unknown,2.0.0,final_export_allowed,Canonical scalar publication-preset summary table.,True,scalar_paraxial,not_applicable,not_applicable,row_level,table_or_metadata,not_applicable,True,canonical_csv,scalar_publication_preset,Use registry gate before export.,not_applicable,not_applicable,yes,not_applicable,yes,1.0.0,Scalar Bessel/vortex publication-preset output.,"Publication preset, but fail/marginal propagation-power labels remain visible and must not be hidden.",True,green
Publication_Study/outputs/csv/publication_study/scalar_preset_comparison_fast_vs_publication.csv,scalar,notebooks/scalar/02_scalar_ideal_vs_lab_diagnostics.ipynb,Publication_Study/outputs/csv/publication_study/scalar_preset_comparison_fast_vs_publication.csv,unknown,2.0.0,final_export_allowed,Preset-comparison table keeps fast versus publication QA differences visible.,True,scalar_paraxial,not_applicable,not_applicable,row_level,table_or_metadata,not_applicable,True,comparison_csv,scalar_publication_preset,Use registry gate before export.,not_applicable,not_applicable,yes,not_applicable,yes,1.0.0,Scalar Bessel/vortex publication-preset output.,"Publication preset, but fail/marginal propagation-power labels remain visible and must not be hidden.",True,green
Publication_Study/outputs/csv/publication_study/*validation*.csv,validation,notebooks/scalar/05_scalar_validation_suite.ipynb,Publication_Study/outputs/csv/publication_study/validation_suite.csv,unknown,2.0.0,final_export_allowed,Canonical numerical validation CSV family.,True,validation,not_applicable,not_applicable,not_applicable,table_or_metadata,not_applicable,True,validation_csv,validation,Use registry gate before export.,not_applicable,not_applicable,yes,not_applicable,yes,1.0.0,Validation/QA output.,"Validation output; numerical tolerance, retained-power, and resampling caveats must remain visible.",True,green
Publication_Study/outputs/csv/stage_c/NB_*,lab_realism,notebooks/lab_realism/*,Publication_Study/outputs/csv/stage_c/*.csv,unknown,1.0.0,legacy_quarantined,NB compatibility output retained for old notebooks; not final-export safe.,True,lab_realistic,row_level,not_applicable,not_applicable,legacy_not_reviewed,not_applicable,False,legacy_csv,diagnostic_legacy,Use non-NB stage_c canonical rows instead.,not_applicable,not_applicable,unknown,not_applicable,unknown,1.0.0,Diagnostic or legacy artifact.,Diagnostic/legacy output; not final-export safe without explicit caveats and registry allow-listing.,False,red
Publication_Study/outputs/csv/stage_c/*.csv,lab_realism,notebooks/lab_realism/01-04,Publication_Study/outputs/csv/stage_c/*.csv,unknown,1.0.0,final_export_allowed,"Current lab-realism route, objective/pupil, and first-order-filter CSV family.",True,lab_realistic,row_level,not_applicable,row_level,table_or_metadata,not_applicable,True,canonical_csv,lab_realism,Use registry gate before export.,not_applicable,not_applicable,yes,not_applicable,yes,1.0.0,Lab-realism optical route output.,Scalar lab-realistic optical model; hardware route and plane labels shown.,True,amber
Publication_Study/outputs/csv/stage_d/NB_*,through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/csv/stage_d/through_sample_summary.csv,unknown,1.0.0,legacy_quarantined,NB through-sample compatibility output; canonical non-NB rows supersede it.,True,interface_model,not_applicable,not_applicable,not_applicable,legacy_not_reviewed,not_applicable,False,legacy_csv,diagnostic_legacy,Use through_sample_summary.csv for governed exports.,not_applicable,not_applicable,unknown,not_applicable,unknown,1.0.0,Diagnostic or legacy artifact.,Diagnostic/legacy output; not final-export safe without explicit caveats and registry allow-listing.,False,red
Publication_Study/outputs/csv/stage_d/through_sample_summary.csv,through_sample,notebooks/lab_realism/05_through_sample_interface.ipynb,Publication_Study/outputs/csv/stage_d/through_sample_summary.csv,unknown,1.0.0,final_export_allowed,Canonical through-sample scalar interface summary table.,True,interface_model,row_level,not_applicable,not_applicable,table_or_metadata,not_applicable,True,canonical_csv,lab_realism,Use registry gate before export.,not_applicable,not_applicable,yes,not_applicable,yes,1.0.0,Lab-realism optical route output.,Scalar lab-realistic optical model; hardware route and plane labels shown.,True,amber
