equation_id,name,latex,meaning,variables,units,code,stage,assumptions,validation_status
EQ01,Gaussian source amplitude,A(r)=\exp(-r^2/w_0^2),Defines the source-scale scalar envelope at the axicon input.,r transverse radius; w0 1/e field radius,"r,w0 in m",vbb_study/digital_twin/nathan_vector_hexagon.py::mode2n_source_target,V0/M2N,Axis-sampled Nathan source grid; source-scale beam radius.,validated
EQ02,Angular coordinate,"\theta=\operatorname{atan2}(y,x)",Defines the local transverse azimuth used by the six-sector field.,"x,y transverse coordinates",rad,nathan_alpha_map / source_parity_grid,V0/M2P,Lab x/y coordinate frame.,validated
EQ03,Six-sector orientation angle,"\alpha(\theta)=\theta+\phi_0(\theta),\quad \phi_0\in\{0,\pi/2\}",Alternates radial and azimuthal vector sectors.,theta; phi0 sector offset,rad,nathan_alpha_map,V0/M2P,Three radial/azimuthal sector pairs.,validated
EQ04,Target Jones vector,"\mathbf E_\mathrm{target}=A(r)[\cos\alpha,\ \sin\alpha]^T",The required transverse vector field before the axicon.,A alpha,field amplitude,mode2p_target_arrays; mode2n_source_target,M2P/M2N,Linear x/y Jones basis.,validated
EQ05,Stokes parameters,"S_0=|E_x|^2+|E_y|^2,\ S_1=|E_x|^2-|E_y|^2,\ S_2=2\Re(E_xE_y^*),\ S_3=-2\Im(E_xE_y^*)",Observable polarization diagnostics used to interpret the target field.,Ex Ey,relative intensity,VectorField.stokes; stokes_from_linear_components,M2P/M2W-FIX,Project sign convention for S3.,validated
EQ06,HWP synthesis,"J_\mathrm{HWP}(\beta)[1,0]^T=[\cos(2\beta),\sin(2\beta)]^T,\quad \beta=\alpha/2",A patterned HWP maps horizontal input to the target vector field.,beta fast-axis angle,rad,route_patterned_hwp_ideal,M2P/M2N,Ideal lossless half-wave retardance.,validated in simulation
EQ07,QWP matrix,"J(\delta,\psi)=R(-\psi)\operatorname{diag}(e^{-i\delta/2},e^{i\delta/2})R(\psi)",Uniform retarder convention used for the final QWP.,delta retardance; psi axis angle,rad,linear_retarder; apply_uniform_jones,M2P/M2N/M2W-FIX,Ideal retarder until lab calibration.,model-supported; mount sign calibration-required
EQ08,Dual-SLM phase convention,"\phi_H=+\alpha,\quad \phi_V=-\alpha+\pi/2",Phase masks recovered by ideal synthesis and inverse propagation.,alpha,rad,route_dual_slm_linear_then_qwp_ideal; run_mode2q_backward_initialisation,M2P/M2Q,Carrier omitted; common piston handled separately.,validated
EQ09,Sequential SLM chain,"E_4=A/\sqrt2[e^{i\phi_H},e^{i\phi_V}]^T",Collinear two-SLM route reproduces the abstract H/V channel field.,phiH phiV A,field amplitude,sequential_jones_equivalence,M2W-FIX,Selective phase-only modulation; swap HWPs unitary when used.,validated in simulation
EQ10,Axicon transverse wavevector,k_r=(2\pi/\lambda)(n_\mathrm{axicon}-n_m)\tan\gamma,Source-scale axicon sets the radial Bessel fringe period.,lambda n gamma,rad/m,NathanSourceParityConfig.k_r_m_inv,V0/M2N,Project tangent convention; source-scale axicon.,validated against source branch
EQ11,Angular spectrum propagation,"\tilde{\mathbf E}(k_x,k_y,z)=\tilde{\mathbf E}(k_x,k_y,0)e^{ik_z z},\quad k_z=\sqrt{k^2-k_x^2-k_y^2}",Free-space propagation of the vector field after the axicon.,kx ky kz z,rad/m and m,propagate_vector_asm,V0/M2N/M2Q,Propagating and decaying evanescent components; FFT grid sampling.,validated in simulation
EQ12,Inverse propagation,"\tilde{\mathbf E}(k_x,k_y,0)=\tilde{\mathbf E}(k_x,k_y,z)e^{-ik_z z}",Backward target reconstruction used by M2Q.,kx ky kz z,rad/m and m,mode2q_backpropagate_vector,M2Q,No evanescent amplification; propagating modes only.,validated in simulation
EQ13,4F carrier hologram,\phi_\mathrm{display}=\phi_\mathrm{target}+2\pi\nu x,Linear carrier shifts the desired order in the Fourier plane.,nu carrier frequency; x panel coordinate,cycles/m and m,run_mode2n_dual_slm_4f_route; mode2s_apply_4f,M2N/M2S,Shared carrier sign; common 4F iris.,validated in simulation
EQ14,Fourier-order displacement,x_{+1}=\lambda f\nu,Physical +1 order offset at the 4F Fourier plane.,lambda f nu,m,physical_4f_rows; fourf_final_design,M2U3/M2V,Paraxial grating relation.,model-supported; bench calibration-required
EQ15,Power observable,I=|E_x|^2+|E_y|^2+|E_z|^2,Total intensity compared to the V0 reference after vector propagation.,Ex Ey Ez,relative intensity,VectorField.intensity,V0/M2N/M2S,Detector insensitive to vector component phase.,validated simulation observable
EQ16,Ring-count relation,N_\mathrm{rings}=R k_r/(2\pi),Plane-labelled estimate of effective ring count.,R radius; kr transverse wavevector,dimensionless,effective_ring_count_for_plane,M1B/M2U,Radius and kr must refer to the same physical plane.,audited after plane-mixing correction
EQ17,Strict symmetry diagnostics,"\{c_{60},c_{90},c_{120},h_3,h_4,h_6,D_\mathrm{core}\}",Classifier features used to reject triangular and fourfold false positives.,rotational correlations; angular harmonics; dark-core ratio,dimensionless,mode2q_strict_hexagon_gate; evaluate_strict_hexagon_metrics,M2U2-FIX,"Project-calibrated thresholds, not universal definitions.",validated against truth table
