equation_id,equation_name,equation_text,digital_twin_layer,model_status,literature_anchor_ids,inputs_required,outputs_produced,calibration_required,validity_limits,notes
energy_at_sample,Energy at sample after throughput losses,E_eff = E_p * eta_SLM * eta_filter * eta_pupil * eta_transmission,engine2,energy_accounting_prediction,A001; A002,E_p [J]; eta_SLM (default 0.7); eta_filter (from Engine 1); eta_pupil (from objective clipping); eta_transmission (optics — default 1.0),E_eff [J],no — eta_SLM and eta_transmission need measurement for absolute accuracy,Assumes static efficiency; does not account for thermal lensing or time-varying losses,eta_SLM and eta_transmission should be measured for quantitative fluence predictions; defaults give order-of-magnitude estimate
angular_spectrum_propagation,Band-limited angular spectrum method (BL-ASM) propagation,U(x y z) = IFFT2{ FFT2{U(x y 0)} * exp(i k_z z) } with BL-ASM bandlimit applied,engine1,optical_prediction,A002; A003,U(x y z=0) [complex field]; k [wavenumber]; grid (N x N; dx; dz),U(x y z) [complex field at propagated plane],no — derived from Maxwell equations,Paraxial approximation: cone half-angle gamma < ~15°. Field must not reach grid boundary. BL-ASM bandlimit must be satisfied,Validated by characterisation lock — core Engine 1 equation; no calibration needed
fluence_scaling,Spatial fluence map from normalised field and pulse energy,F(x y z) = E_eff * |U(x y z)|^2 / 1e4 [J/cm^2],engine2,fluence_prediction,A001; A002; A017,U(x y z) normalised field [m^-2]; E_eff [J],F(x y z) [J/cm^2],no — analytical scaling; requires E_eff accuracy,Field must be normalised so integral of |U|^2 dA = 1. Valid for linear propagation regime only (P << P_crit),Conversion factor 1e4 converts from J/m^2 to J/cm^2; normalisation is critical for absolute accuracy
local_threshold_ratio,Ratio of local fluence to threshold fluence,R_th(x y) = F(x y) / F_th_N where F_th_N = F_th(1) * N^(S-1),engine2,fluence_threshold_proxy,A009; A010; A013; A014,F(x y z) [J/cm^2]; F_th(1) [J/cm^2]; S [incubation exponent]; N [shot count],R_th(x y) [dimensionless]; threshold crossing mask (R_th >= 1),yes — F_th(1) and S must be calibrated,F_th from literature is prior only; R_th is a proxy until calibrated; F_th must match wavelength / pulse duration / NA / sample,Literature F_th gives order-of-magnitude; local calibration gives calibrated prediction status
incubation_threshold_law,Jee-Becker N-shot incubation law,F_th(N) = F_th(1) * N^(S-1),engine2,fluence_threshold_proxy,A013; A014,F_th(1) [J/cm^2]; S [dimensionless exponent]; N [integer shot count],F_th(N) [J/cm^2],yes — S and F_th(1) must be calibrated for this material,S < 1 (incubation decreases threshold with N). Valid functional form is well-established; parameter values are material-specific,Jee-Becker functional form is the standard in the field. S=1 means no incubation (no N dependence). Use S=0.85 as placeholder prior only
pulse_spacing,Spatial separation between consecutive pulses,d_pulse = v / f_rep,engine2,dose_accumulation_proxy,A011; A012,v [m/s scan speed]; f_rep [Hz repetition rate],d_pulse [m],no — analytical geometry,Valid for linear scan at constant speed; not valid for acceleration/deceleration phases,Simple geometry; no physics beyond kinematics
pulses_per_spot,Number of pulses within one beam spot diameter,N_spot = round(2 * r_core / d_pulse),engine2,dose_accumulation_proxy,A011; A012,r_core [m beam core radius at surface]; d_pulse [m pulse spacing],N_spot [integer],no — analytical geometry,Uses r_core as the beam radius — for Bessel beam use measured or predicted core radius,N_spot determines effective incubation N at each site for continuous scanning; larger N_spot means more incubation
dose_per_unit_length,Fluence dose delivered per unit scan length,dD/dl = E_eff * f_rep / v [J/m per m] = E_eff * f_rep / v,engine2,dose_accumulation_proxy,A011; A012,E_eff [J]; f_rep [Hz]; v [m/s],dD/dl [J/m],no — analytical,Valid for uniform scan at constant speed,Useful for quick estimate of line dose without full spatial simulation
accumulated_dose,Cumulative fluence after N shots at trajectory positions,F_cum(x y) = sum_{i=1}^{N_total} F(x - x_i; y - y_i),engine2,dose_accumulation_proxy,A011; A012; A013,F(x y) [fluence map per shot]; {x_i; y_i} [shot positions along trajectory],F_cum(x y) [J/cm^2 accumulated],no — geometric sum,Geometric accumulation only — no heat or incubation coupling in this equation,This is the raw geometric dose. Does NOT account for heat accumulation or shot-to-shot modification buildup. Model status is explicitly dose_accumulation_proxy
multiphoton_absorption_proxy,K-photon absorption rate proxy for energy deposition,W_K ~ sigma_K * I^K where sigma_K is K-photon cross section and K = ceil(E_g / E_photon),engine2,nonlinear_deposition_proxy,A015; A016; A018,I [W/m^2 intensity]; sigma_K [m^(2K)/W^(K-1) K-photon cross section]; K [photon order],W_K [W/m^3 volumetric absorption rate proxy],yes — sigma_K is material-specific and essentially unknown for Cr:ZnSe at our conditions,Valid only as qualitative proxy. K = ceil(2.4 eV / 1.2 eV) = 2 for ZnSe at 1030 nm — approximately 2-photon process,Explicitly a nonlinear_deposition_proxy — not a calibrated model. sigma_K for Cr:ZnSe at 1030 nm must be measured or computed from band structure
carrier_rate_proxy,Rate equation for free carrier density (proxy),dN_e/dt = W_K - N_e/tau_rec,engine2,nonlinear_deposition_proxy,A015; A016,W_K [m^-3 s^-1 generation rate]; N_e [m^-3 carrier density]; tau_rec [s recombination time],N_e(t) [m^-3 time-resolved carrier density],yes — sigma_K and tau_rec are material-specific and uncalibrated for our system,Simplified rate equation; ignores impact ionisation; avalanche ionisation; Drude dynamics; only first-order removal term,Proxy only — tau_rec for ZnSe ~0.1–10 ps (literature estimate); actual value unknown
thermal_diffusion_length,Characteristic length for heat diffusion between pulses,L_th = sqrt(D_th / f_rep),engine2,dose_accumulation_proxy,A011; A012,D_th = kappa/(rho*Cp) [m^2/s]; f_rep [Hz],L_th [m],no — analytical given D_th,Assumes 1D heat diffusion between uniformly spaced pulses; 3D effects and geometry not included,D_th for ZnSe ~1e-5 m^2/s → L_th ~ sqrt(1e-5/50000) ~ 14 µm at 50 kHz. Much larger than in glass → heat dissipates faster
heat_equation_proxy,Simplified heat equation proxy for peak temperature rise,delta_T_proxy ~ F_abs / (rho * Cp * z_abs) where F_abs = F * alpha_abs and z_abs ~ 1/alpha_abs,engine2,thermal_accumulation_proxy,A011; A012,F [J/cm^2 absorbed fluence]; rho [kg/m^3]; Cp [J/kg/K]; alpha_abs [m^-1 absorption coefficient],delta_T_proxy [K temperature rise estimate],yes — alpha_abs (nonlinear absorption at focus) is uncalibrated,Assumes all absorbed energy deposited in thin slab of thickness 1/alpha_abs. Valid order-of-magnitude only,Thermal proxy — not a thermodynamic simulation. alpha_abs here is the effective multiphoton absorption coefficient in the focal volume which is not the linear absorption coefficient
microscope_projection_proxy,Simulated top-view image by PSF convolution,I_sim(x y) = V(x y z_focus) conv PSF(x y) where PSF = Gaussian of width sigma = lambda_mic/(2*NA_mic),engine3,simulated_microscopy_proxy,A023; A024,V(x y z_focus) [modification proxy volume cross-section]; lambda_mic [m]; NA_mic [dimensionless],I_sim(x y) [simulated image intensity],no — but PSF sigma should be calibrated for actual microscope,Assumes Gaussian PSF (not the full Airy disk); no aberrations; no coherent imaging effects; no material-contrast model,Simulated image is spatial extent proxy only — contrast not calibrated. Upgrade to calibrated_material_prediction requires measured PSF and contrast calibration
waveguide_mode_solver_anchor,Step-index or graded-index mode solver — V-number and mode size,V = (2*pi/lambda) * r_core * sqrt(n_core^2 - n_clad^2) approx (2*pi/lambda) * r_core * sqrt(2 * n_core * delta_n),engine3,uncalibrated_material_response_proxy,A021; A022; A023,lambda [m]; r_core [m]; n_core [dimensionless]; delta_n [dimensionless index change],V-number [dimensionless]; mode field diameter; number of guided modes; cutoff condition,yes — delta_n and r_core must be measured,Valid for step-index profile approximation. Graded profiles require full numerical BPM. Single-mode condition V < 2.405,Mode predictions are order-of-magnitude only until Δn is calibrated. Single-mode criterion: V < 2.405 — applies to step-index guide
