order,stage,model_fraction_of_input,example_at_1W_input_W,example_at_10W_input_W,note,split_arm_stage,scaling_disclaimer
1,01_laser_input,1.0,1.0,10.0,input reference,False,linear scaling example only; not a damage-threshold or power-rating claim
2,02_after_pol_hwp_prep,1.0,1.0,10.0,lossless model; vendor polariser/HWP transmission not invented,False,linear scaling example only; not a damage-threshold or power-rating claim
3,03_after_slm1,1.0,1.0,10.0,phase-only selective modulation; panel reflectivity unknown and not applied,False,linear scaling example only; not a damage-threshold or power-rating claim
4,04_after_first_swap_if_used,1.0,1.0,10.0,conditional HWP is unitary in the model,False,linear scaling example only; not a damage-threshold or power-rating claim
5,05_after_slm2_effective_modulated_field,0.8649000000000001,0.8649000000000001,8.649000000000001,"effective validated fill-factor modulated fraction, 0.93^2",False,linear scaling example only; not a damage-threshold or power-rating claim
6,06_after_swap_back_if_used,0.8649000000000001,0.8649000000000001,8.649000000000001,conditional HWP is unitary in the model,False,linear scaling example only; not a damage-threshold or power-rating claim
7,07_selected_plus1_after_common_4f,0.8210142113399899,0.8210142113399899,8.210142113399899,first-order efficiency 0.9493; rejects carrier tails / DC,False,linear scaling example only; not a damage-threshold or power-rating claim
8,08_after_qwp,0.8210142113399899,0.8210142113399899,8.210142113399899,QWP unitary,False,linear scaling example only; not a damage-threshold or power-rating claim
9,09_after_axicon,0.765516934710252,0.765516934710252,7.65516934710252,uncoated source axicon Fresnel/conical p-s model,False,linear scaling example only; not a damage-threshold or power-rating claim
10,10_total_power_at_z60,0.765516934710252,0.765516934710252,7.65516934710252,free-space propagation conserves integrated model power,False,linear scaling example only; not a damage-threshold or power-rating claim
11,11_useful_hexagon_region_power,0.27982372939329714,0.27982372939329714,2.7982372939329716,fixed useful-region fraction 0.3655,False,linear scaling example only; not a damage-threshold or power-rating claim
12,12_outside_useful_region_power,0.4856932053169548,0.4856932053169548,4.856932053169548,outer rings / side lobes,False,linear scaling example only; not a damage-threshold or power-rating claim
