status_level,status_key,short_description,engine,allowed_claim_summary,required_label,can_be_published_without_proxy_stamp
11,experimentally_validated_prediction,Direct comparison to measured experiment; full validation,3,Full quantitative claims for validated material/regime/parameter range,EXPERIMENTALLY VALIDATED — see validation/[ref],yes
10,calibrated_material_prediction,Calibrated threshold from experiment; validated for one material/regime,3,Calibrated modification prediction for [material] at [regime],CALIBRATED PREDICTION — [material] [regime] cal ref: [ID],yes
9,simulated_microscopy_proxy,Proxy modification volume convolved with PSF; no calibration,3,Simulated top-view image: qualitative spatial extent only,SIMULATED MICROSCOPY PROXY — OTF and contrast uncalibrated,no
8,uncalibrated_material_response_proxy,Proxy models combined; no experiment calibration,3,Proxy modification volume: region where dose exceeds literature threshold,PROXY — NOT A CALIBRATED MATERIAL PREDICTION,no
7,thermal_accumulation_proxy,Heuristic thermal buildup; uncalibrated,2,Qualitative estimate of shot-to-shot thermal buildup,THERMAL HEURISTIC PROXY — diffusion length and coupling uncalibrated,no
6,nonlinear_deposition_proxy,Heuristic nonlinear absorption hook; uncalibrated,2,Heuristic estimate of enhanced central-peak deposition,NONLINEAR HEURISTIC PROXY — exponent and prefactor uncalibrated,no
5,dose_accumulation_proxy,Geometric multi-shot accumulation; no thermal or incubation coupling,2,Estimated cumulative fluence for N shots at this trajectory,DOSE PROXY — geometric accumulation only,no
4,fluence_threshold_proxy,Fluence compared to literature threshold; not calibrated for this system,2,Fluence exceeds literature threshold in this region,PLANNING PROXY — literature threshold (uncalibrated for this system),no
3,fluence_prediction,Spatial fluence from validated optical field + energy accounting,2,Predicted spatial fluence distribution at sample surface,Fluence prediction (optical_prediction + energy accounting),yes
2,energy_accounting_prediction,Pulse energy to peak fluence; analytical formula,2,Predicted peak fluence at surface for a given pulse energy,Energy accounting prediction,yes
1,optical_prediction,First-principles optical field; validated by characterisation lock,1,Spatial intensity distribution; core diameter; Bessel zone; vortex winding,None required (optical outputs only),yes
