parameter_id,material,parameter_name,symbol,value,units,source_anchor_id,source_status,safe_use_level,applies_to_module,uncertainty_note,requires_calibration,notes
P001,ZnSe,Refractive index at 1030 nm,n,2.40,dimensionless,not_reported,confirmed_material_datasheet,direct_physical_constant,engine1; energy_accounting,Well-established from II-VI / FLIR datasheets; verify exact value at your wavelength and temperature,no,Can be used directly in BL-ASM propagation — verify via Sellmeier equation for exact wavelength
P002,Cr:ZnSe,Refractive index at 1030 nm,n,~2.40,dimensionless,not_reported,needs_literature_lookup,direct_physical_constant,engine1; energy_accounting,Cr doping shifts absorption but refractive index near 1030 nm is close to undoped ZnSe — verify,no,Cr absorption edge is around 1800–2500 nm; at 1030 nm material is transparent and n ≈ undoped ZnSe
P003,ZnSe,Density,rho,5260,kg/m^3,not_reported,confirmed_material_datasheet,direct_physical_constant,engine2; thermal_proxy,Standard semiconductor material data; verify for your sample grade,no,
P004,ZnSe,Heat capacity (specific),Cp,339,J/kg/K,not_reported,needs_literature_lookup,direct_physical_constant,engine2; thermal_proxy,Literature range 330–350 J/kg/K depending on temperature; use room temperature value,no,Verify from NIST or semiconductor database
P005,ZnSe,Thermal conductivity,kappa,18,W/m/K,not_reported,needs_literature_lookup,direct_physical_constant,engine2; thermal_proxy,Literature range 17–20 W/m/K; relatively low uncertainty for single-crystal ZnSe,no,Much higher than fused silica (~1.4 W/m/K); heat dissipates much faster in ZnSe
P006,ZnSe,Thermal diffusivity,D_th,1.0e-5,m^2/s,not_reported,needs_literature_lookup,direct_physical_constant,engine2; thermal_proxy,D_th = kappa/(rho*Cp) ~18/(5260*339) ~1.0e-5 m²/s — over 20× that of borosilicate glass,no,High D_th means thermal diffusion length L_th = sqrt(D_th/f_rep) is larger than in glass — heat accumulation onset at much higher rep rate
P007,ZnSe,Bandgap energy,E_g,2.70,eV,not_reported,confirmed_material_datasheet,direct_physical_constant,engine2; nonlinear_proxy,Well-established for undoped ZnSe; 2.67–2.70 eV at room temperature,no,At 1030 nm photon energy is ~1.2 eV — approximately 2-photon process for modification (K_eff ~ 2)
P008,Cr:ZnSe,Cr d-level absorption band energy,E_Cr,~2.0,eV,not_reported,needs_literature_lookup,direct_physical_constant,engine2; nonlinear_proxy,Cr²⁺ absorption band ~1800–2700 nm (0.46–0.69 eV); at 1030 nm material absorbs via bandgap not Cr d-levels,no,At 1030 nm the 2PA or multiphoton process is dominated by the electronic bandgap not Cr levels
P009,ZnSe,Nonlinear refractive index,n2,1.5e-17,m^2/W,A016,needs_literature_lookup,literature_prior_only,engine1; nonlinear_proxy,Literature range for ZnSe family ~1–4×10⁻¹⁷ m²/W at near-IR wavelengths; strongly wavelength dependent,no — use for P_crit check only,Use ONLY to check P vs P_crit: if P << P_crit linear propagation assumed valid. Do NOT use as calibrated nonlinear coefficient
P010,ZnSe,Critical power for self-focusing,P_crit,~10,MW,A015; A016,needs_literature_lookup,literature_prior_only,engine1,P_crit = lambda^2/(2*pi*n*n2) — strongly dependent on n2 value used; range ~5–50 MW at 1030 nm given n2 uncertainty,no — order of magnitude check only,If pulse peak power << P_crit (few kW for µJ pulses at 100 fs) linear propagation is valid — check with actual pulse parameters
P011,Cr:ZnSe,Single-shot surface ablation threshold,F_th_surface,not_reported,J/cm^2,A017; A018,needs_literature_lookup,calibration_required,engine2; engine3,Literature range for ZnSe-family ~0.05–0.3 J/cm² at 800–1030 nm fs pulses — highly variable with pulse duration and surface quality,yes,Must measure with Liu method (log D² vs log E) on this specific sample with this laser configuration
P012,Cr:ZnSe,Single-shot internal modification threshold,F_th_internal,not_reported,J/cm^2,A009; A010,needs_literature_lookup,calibration_required,engine2; engine3,Typically higher than surface ablation threshold; ratio F_th_internal/F_th_surface ~1.5–5× in oxides — unknown for ZnSe,yes,Must measure by scanning tracks and measuring continuity threshold then correlating with computed focus fluence
P013,Cr:ZnSe,Incubation exponent,S,not_reported,dimensionless,A013; A014,needs_literature_lookup,calibration_required,engine2,Literature value for oxide dielectrics S ~0.8–0.95 (Lenzner); metals S ~0.7–0.85 (Jee); ZnSe unknown,yes,Must measure via static multi-pulse exposure sweep (Sweep 6 in doc 25) — S is unique to this material system
P014,Cr:ZnSe,Achievable waveguide refractive index change,delta_n,not_reported,dimensionless,A009; A010; A020,needs_literature_lookup,literature_prior_only,engine3,ZnSe-family literature suggests Δn ~10⁻⁴–10⁻² depending on writing mode; sign (positive or negative) unknown for our conditions,yes,Literature prior spans 2 orders of magnitude; local measurement required to establish Δn and its sign
P015,Cr:ZnSe,Waveguide propagation loss (expected),alpha_wg,not_reported,dB/cm,A009; A010,needs_literature_lookup,calibration_required,engine3,ZnSe-family literature reports ~0.5–10 dB/cm depending on writing mode and material quality,yes,Loss must be measured with cutback method or scattered-light imaging; Fabry-Perot ripple for short samples
P016,ZnSe,Linear absorption coefficient at 1030 nm,alpha_lin,~0.0,cm^-1,not_reported,confirmed_material_datasheet,direct_physical_constant,engine1; engine2,ZnSe is transparent at 1030 nm (E_photon < E_g/2 for 2PA threshold); residual absorption may exist in Cr:ZnSe from tail of Cr bands,no,For undoped ZnSe alpha_lin ~ 0 at 1030 nm; Cr:ZnSe may have small non-zero absorption — verify with transmission measurement
P017,fused_silica,Refractive index at 1030 nm,n,1.45,dimensionless,not_reported,confirmed_material_datasheet,do_not_transfer_between_materials,engine1 (reference only),Reference system value — well-known,no,DO NOT USE for Cr:ZnSe — listed here only as reference system comparison value
P018,fused_silica,Single-shot ablation threshold at 1030 nm,F_th_surface,~2.5,J/cm^2,A004; A005,needs_literature_lookup,do_not_transfer_between_materials,engine2 (reference only),Reference system only; very different material and bandgap from ZnSe,no,DO NOT TRANSFER to Cr:ZnSe; listed here to confirm Engine 2 validates against known reference
P019,fused_silica,Incubation exponent S,S,~0.85,dimensionless,A014,needs_literature_lookup,do_not_transfer_between_materials,engine2 (reference only),Oxide glass S — often used as initialisation prior in the literature; explicitly not for ZnSe,no,DO NOT USE for Cr:ZnSe calibration; listed here as a literature-prior starting point concept only
P020,Cr:ZnSe,Etch-rate enhancement after fs modification,eta_etch,not_reported,dimensionless,not_reported,needs_literature_lookup,calibration_required,engine3,Unknown for Cr:ZnSe at our conditions; fused silica shows 10–100× (HF etch) but chemistry is completely different,yes,Must determine if etch enhancement exists in ZnSe and what chemistry works; start with KOH or proprietary ZnSe etchants
P021,ZnSe,Plasma recombination time,tau_rec,not_reported,ps,A015; A016,needs_literature_lookup,order_of_magnitude_only,engine2; nonlinear_proxy,Typical range for wide-bandgap semiconductors ~0.1–10 ps; ZnSe-specific value unknown for our conditions,no — use as proxy order of magnitude only,Required for carrier rate proxy hook; exact value must come from ZnSe-specific pump-probe or similar
P022,Cr:ZnSe,Modification track width vs pulse energy slope,d_track_dE,not_reported,um/uJ,not_reported,needs_literature_lookup,calibration_required,engine3,Track width scaling with pulse energy depends on beam shape; Bessel tracks have different scaling than Gaussian focus,yes,Calibration Sweep 1+2 will provide this; slope allows interpolation between measured points
P023,Cr:ZnSe,Waveguide mode field diameter (expected),MFD,not_reported,um,A009; A010; A022,needs_literature_lookup,calibration_required,engine3,Mode size determined by Δn and core radius; expected ~5–20 µm for depressed-cladding in ZnSe-family,yes,Must measure with near-field or far-field imaging at the output face of a written waveguide
